+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
|   cluster | host                 | cpu   | core  | cpuset   | gpu  | gpudevice            | cpumodel                       | gpumodel                      |
|  clustera | clustera-7           | 13    | 103   | 12       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 13    | 104   | 14       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 105   | 1        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 106   | 3        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 107   | 5        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 108   | 7        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 109   | 9        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 110   | 11       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 111   | 13       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-7           | 14    | 112   | 15       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 113   | 0        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 114   | 2        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 115   | 4        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 116   | 6        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 117   | 8        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 118   | 10       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 119   | 12       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 15    | 120   | 14       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 121   | 1        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 122   | 3        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 123   | 5        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 124   | 7        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 125   | 9        |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 126   | 11       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 127   | 13       |      |                      | Intel Xeon E5-2630 v3          |                               |
|  clustera | clustera-8           | 16    | 128   | 15       |      |                      | Intel Xeon E5-2630 v3          |                               |
+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
