site,cluster,node (not used by script),mac_prod,mac_bmc,ip_admin,ip_prod
sophia,mercantour5,mercantour5-1,6c:2b:59:9c:4a:32,6c:2b:59:9c:48:65,172.17.130.42,172.16.130.42
sophia,mercantour5,mercantour5-2,6c:2b:59:9c:3f:3a,6c:2b:59:9c:3c:51,172.17.130.43,172.16.130.43
sophia,mercantour5,mercantour5-3,6c:2b:59:9c:4a:6d,6c:2b:59:9c:46:df,172.17.130.44,172.16.130.44
sophia,mercantour5,mercantour5-4,6c:2b:59:9a:05:c4,6c:2b:59:99:fd:38,172.17.130.45,172.16.130.45
sophia,mercantour6,mercantour6-1,F4:02:70:B9:2B:B6,70:b5:e8:d7:6a:4a,172.17.130.46,172.16.130.46
sophia,mercantour7,mercantour7-1,F4:02:70:B9:60:34,70:b5:e8:de:e8:76,172.17.130.47,172.16.130.47
sophia,esterel1,esterel1-1,18:66:da:ed:2c:44,18:fb:7b:a8:b6:a1,172.17.131.1,172.16.131.1
sophia,esterel2,esterel2-1,14:18:77:61:c4:45,14:18:77:61:c4:47,172.17.131.2,172.16.131.2
sophia,esterel3,esterel3-1,14:18:77:72:09:4c,14:18:77:72:09:4e,172.17.131.3,172.16.131.3
sophia,esterel4,esterel4-1,00:8c:fa:16:60:18,18:66:da:55:21:ca,172.17.131.4,172.16.131.4
sophia,esterel5,esterel5-1,00:8c:fa:16:61:ec,18:66:da:55:25:ad,172.17.131.5,172.16.131.5
sophia,esterel5,esterel5-2,00:8c:fa:14:f9:84,18:66:da:97:71:9c,172.17.131.6,172.16.131.6
sophia,esterel6,esterel6-1,e0:db:55:fd:3a:47,18:66:da:a6:f0:f3,172.17.131.7,172.16.131.7
sophia,esterel7,esterel7-1,e0:db:55:fd:3a:2f,18:66:da:a2:51:13,172.17.131.8,172.16.131.8
sophia,esterel7,esterel7-2,e0:db:55:fd:39:96,18:66:da:a2:43:ce,172.17.131.9,172.16.131.9
sophia,esterel8,esterel8-1,e0:db:55:fd:39:e7,d0:94:66:1f:64:cd,172.17.131.10,172.16.131.10
sophia,esterel9,esterel9-1,e0:db:55:fd:38:5e,d0:94:66:1f:75:08,172.17.131.11,172.16.131.11
sophia,esterel10,esterel10-1,e0:db:55:fd:3a:20,d0:94:66:13:b5:24,172.17.131.12,172.16.131.12
sophia,esterel10,esterel10-2,e0:db:55:fd:39:87,d0:94:66:13:c4:80,172.17.131.13,172.16.131.13
sophia,esterel10,esterel10-3,e0:db:55:fd:3a:02,d0:94:66:13:b0:49,172.17.131.14,172.16.131.14
sophia,esterel11,esterel11-1,e0:db:55:fd:39:69,d0:94:66:13:a9:4f,172.17.131.15,172.16.131.15
sophia,esterel12,esterel12-1,e0:db:55:fd:39:d5,d0:94:66:13:a9:db,172.17.131.16,172.16.131.16
sophia,esterel12,esterel12-2,e0:db:55:fd:38:d9,d0:94:66:3e:5f:90,172.17.131.17,172.16.131.17
sophia,esterel13,esterel13-1,e0:db:55:fd:38:7f,50:9a:4c:ab:4e:f4,172.17.131.18,172.16.131.18
sophia,esterel14,esterel14-1,e0:db:55:fd:2f:d0,58:8a:5a:ec:8f:b4,172.17.131.19,172.16.131.19
sophia,esterel15,esterel15-1,e0:db:55:fd:39:81,54:48:10:f8:5a:f0,172.17.131.20,172.16.131.20
sophia,esterel16,esterel16-1,34:17:eb:e7:25:01,4c:d9:8f:0c:35:30,172.17.131.21,172.16.131.21
sophia,esterel17,esterel17-1,e0:db:55:fd:39:ab,50:9a:4c:aa:fe:f2,172.17.131.22,172.16.131.22
sophia,esterel18,esterel18-1,00:26:6c:f8:58:a2,4c:d9:8f:15:27:46,172.17.131.23,172.16.131.23
sophia,esterel19,esterel19-1,34:17:eb:e8:81:e6,4c:d9:8f:2c:d6:24,172.17.131.24,172.16.131.24
sophia,esterel20,esterel20-1,34:17:eb:e8:83:7e,4c:d9:8f:2c:da:44,172.17.131.25,172.16.131.25
sophia,esterel20,esterel20-2,34:17:eb:e8:83:75,4c:d9:8f:2c:d3:90,172.17.131.26,172.16.131.26
sophia,esterel21,esterel21-1,34:17:eb:e8:83:72,f4:02:70:9a:c2:c4,172.17.131.27,172.16.131.27
sophia,esterel22,esterel22-1,34:17:eb:e8:83:84,f4:02:70:9d:f4:e8,172.17.131.28,172.16.131.28
sophia,esterel23,esterel23-1,34:17:eb:e8:83:00,f4:02:70:9d:78:36,172.17.131.29,172.16.131.29
sophia,esterel24,esterel24-1,34:17:eb:e8:82:bb,f4:02:70:9d:75:a2,172.17.131.30,172.16.131.30
sophia,esterel24,esterel24-2,50:9a:4c:6c:38:af,70:b5:e8:c9:ff:e2,172.17.131.31,172.16.131.31
sophia,esterel25,esterel25-1,50:9a:4c:6c:39:82,f4:02:70:ed:3f:24,172.17.131.32,172.16.131.32
sophia,esterel26,esterel26-1,50:9a:4c:6c:38:d9,70:b5:e8:e1:41:24,172.17.131.33,172.16.131.33
sophia,esterel27,esterel27-1,50:9a:4c:6c:39:53,2c:fd:a1:34:b9:8d,172.17.131.34,172.16.131.34
sophia,esterel28,esterel28-1,50:9a:4c:6c:38:9e,0c:c4:7a:e7:10:d3,172.17.131.35,172.16.131.35
sophia,esterel29,esterel29-1,50:9a:4c:6c:39:31,4c:d9:8f:1a:3c:b8,172.17.131.36,172.16.131.36
sophia,esterel30,esterel30-1,50:9a:4c:6b:5d:b0,f4:02:70:b3:66:70,172.17.131.37,172.16.131.37
sophia,esterel30,esterel30-2,50:9a:4c:85:c8:15,f4:02:70:b3:66:28,172.17.131.38,172.16.131.38
sophia,esterel30,esterel30-3,50:9a:4c:70:fa:7a,f4:02:70:b3:5d:b2,172.17.131.39,172.16.131.39
sophia,esterel30,esterel30-4,50:9a:4c:70:fa:3c,f4:02:70:ba:d8:4e,172.17.131.40,172.16.131.40
sophia,esterel31,esterel31-1,50:9a:4c:70:fa:7c,f4:02:70:ed:22:5a,172.17.131.41,172.16.131.41
sophia,esterel31,esterel31-2,50:9a:4c:70:aa:e1,f4:02:70:ed:1c:2a,172.17.131.42,172.16.131.42
sophia,esterel31,esterel31-3,50:9a:4c:6c:38:ad,f4:02:70:ed:2a:84,172.17.131.43,172.16.131.43
sophia,esterel31,esterel31-4,50:9a:4c:6c:38:6b,f4:02:70:ed:2e:a4,172.17.131.44,172.16.131.44
sophia,esterel32,esterel32-1,50:9a:4c:6c:39:85,70:b5:e8:d9:89:bc,172.17.131.45,172.16.131.45
sophia,esterel33,esterel33-1,50:9a:4c:6c:39:89,b0:7b:25:d0:f8:f2,172.17.131.46,172.16.131.46
sophia,esterel34,esterel34-1,24:6e:96:81:28:dc,b0:7b:25:e1:14:10,172.17.131.47,172.16.131.47
sophia,esterel35,esterel35-1,6c:2b:59:9c:4a:32,b0:7b:25:df:e0:d4,172.17.131.48,172.16.131.48
sophia,esterel35,esterel35-2,6c:2b:59:9c:3f:3a,b0:7b:25:df:df:60,172.17.131.49,172.16.131.49
sophia,esterel36,esterel36-1,6c:2b:59:9c:4a:6d,5c:ba:2c:3e:a2:7c,172.17.131.50,172.16.131.50
sophia,esterel37,esterel37-1,6c:2b:59:9a:05:c4,5c:ed:8c:32:15:b8,172.17.131.51,172.16.131.51
sophia,esterel38,esterel38-1,F4:02:70:B9:2B:B6,5c:ed:8c:3b:ee:14,172.17.131.52,172.16.131.52
sophia,esterel39,esterel39-1,F4:02:70:B9:60:34,5c:ed:8c:38:09:c8,172.17.131.53,172.16.131.53
sophia,esterel40,esterel40-1,50:7c:6f:4f:43:06,5c:ed:8c:b3:08:68,172.17.131.54,172.16.131.54
sophia,esterel40,esterel40-2,50:7c:6f:64:6e:6a,5c:ed:8c:bf:cd:2c,172.17.131.55,172.16.131.55
sophia,esterel41,esterel41-1,6c:92:cf:05:28:24,5c:ed:8c:f4:43:88,172.17.131.56,172.16.131.56
sophia,musa,musa-1,6c:92:cf:b8:dc:8c,7C:A6:2A:94:33:0C,,
sophia,musa,musa-2,6c:92:cf:b8:9d:56,7C:A6:2A:94:2F:2A,,
sophia,musa,musa-3,6c:92:cf:b8:5e:e8,7C:A6:2A:94:30:A0,,
sophia,musa,musa-4,6c:92:cf:b8:13:2e,7C:A6:2A:94:2C:3E,,
sophia,musa,musa-5,6c:92:cf:b8:ab:8a,7C:A6:2A:94:31:3A,,
sophia,musa,musa-6,6c:92:cf:b8:a4:3a,7C:A6:2A:94:2F:74,,
